Season,Player,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP,Age,,,,,,,,
1995-96,Otis Thorpe,8.7,16.4,8.7,16.4,0,0.1,5,7,4.1,9.2,13.3,3,1,0.8,3.8,5.8,22.4,0.53,0.532,0,0.53,0.71,0.573,2841,33,,,,,,,,
1996-97,Otis Thorpe,8.9,16.8,8.9,16.8,0,0,4.2,6.5,4.8,8.5,13.3,2.8,1.3,0.4,3.1,6.4,22.1,0.532,0.534,0,0.532,0.653,0.563,2661,34,,,,,,,,
1997-98,Otis Thorpe,7,14.8,7,14.7,0,0.1,3.9,5.7,3.6,9.2,12.7,5.3,1.1,0.7,3.6,5.6,17.8,0.471,0.475,0,0.471,0.683,0.515,2197,35,,,,,,,,
1998-99,Otis Thorpe,8.3,15.3,8.3,15.2,0,0.1,2.6,3.7,3.3,8.3,11.6,3.5,1.5,0.7,3.1,6.8,19.3,0.545,0.548,0,0.545,0.698,0.569,1539,36,,,,,,,,
2009-10,Marcus Thornton,11,24.4,7.8,15.8,3.2,8.7,4,4.9,2,3.8,5.8,3.2,1.6,0.3,2.1,3.5,29.3,0.451,0.493,0.374,0.517,0.814,0.55,1872,22,,,,,,,,
2010-11,Marcus Thornton,10.2,23.6,7.7,16.6,2.6,7,4.2,5.4,1.8,5.8,7.5,3.9,1.9,0.3,2.7,3.2,27.3,0.434,0.462,0.367,0.488,0.788,0.525,1775,23,,,,,,,,
2011-12,Marcus Thornton,10,22.9,7,14,3,8.8,4,4.6,2.4,3,5.4,2.8,2,0.3,2.4,3.2,27.1,0.438,0.497,0.345,0.505,0.865,0.544,1780,24,,,,,,,,
2012-13,Marcus Thornton,9.9,23,5.7,11.7,4.2,11.3,3.3,3.7,1.5,3.9,5.4,2.7,1.8,0.1,2,3.1,27.2,0.429,0.484,0.372,0.52,0.881,0.552,1726,25,,,,,,,,
2013-14,Marcus Thornton,7.4,18.9,4.2,9.5,3.2,9.3,2.7,3.3,1.7,4.2,5.8,2.3,1.7,0.3,2,3.2,20.8,0.394,0.443,0.345,0.48,0.804,0.511,1741,26,,,,,,,,
2015-16,Marcus Thornton,9.6,24,5.5,12,4,12,3,3.5,1.7,5,6.6,3.8,2.1,0.2,2.3,4,26.1,0.399,0.46,0.337,0.482,0.848,0.511,1109,28,,,,,,,,
1985-86,Bob Thornton,4.6,10.1,4.6,10.1,0,0,3.2,6,4.2,6.5,10.7,1.6,1.1,0.3,3.1,7.7,12.4,0.456,0.456,,0.456,0.531,0.487,1323,23,,,,,,,,
2007-08,Al Thornton,9,21,8,17.9,1,3.1,5.2,7,2.4,6.3,8.6,2.4,1.1,1,3.1,4.7,24.3,0.429,0.447,0.331,0.454,0.743,0.504,2158,24,,,,,,,,
2008-09,Al Thornton,9.2,20.6,8.8,19.1,0.4,1.6,4.6,6.1,2.4,4.8,7.2,2,1.2,1.2,2.6,4.5,23.5,0.446,0.462,0.253,0.456,0.754,0.502,2654,25,,,,,,,,
2009-10,Al Thornton,8,16.9,7.7,16.1,0.3,0.8,3.8,5.3,2.9,4.5,7.4,2.3,1.1,0.9,2.6,5.2,20.1,0.473,0.479,0.355,0.482,0.725,0.523,2079,26,,,,,,,,
2010-11,Al Thornton,7.6,15.9,7.4,14.9,0.1,1,4.1,5.2,2.1,5.8,7.9,2.3,1.3,0.4,2.4,5.3,19.3,0.476,0.496,0.154,0.48,0.775,0.531,1383,27,,,,,,,,
2011-12,Tristan Thompson,7.2,16.3,7.2,16.2,0,0.1,3.9,7.1,6.9,7.5,14.4,1,1,2.3,3,4.9,18.2,0.439,0.441,0,0.439,0.552,0.469,1424,20,,,,,,,,
2012-13,Tristan Thompson,7.9,16.2,7.9,16.1,0,0.1,3.6,5.9,6.2,9.5,15.7,2.2,1.2,1.4,2.5,4.7,19.4,0.488,0.49,0,0.488,0.608,0.516,2564,21,,,,,,,,
2013-14,Tristan Thompson,7.2,15.1,7.2,15.1,0,0,4.7,6.7,5.3,9.6,15,1.4,0.8,0.7,2.1,3.7,19.1,0.477,0.478,0,0.477,0.693,0.528,2594,22,,,,,,,,
2014-15,Tristan Thompson,6.3,11.6,6.3,11.6,0,0,3.8,5.9,6.5,9.1,15.6,0.9,0.8,1.4,2,4.5,16.4,0.547,0.547,,0.547,0.641,0.58,2194,23,,,,,,,,
2015-16,Tristan Thompson,5.6,9.5,5.6,9.5,0,0,3.4,5.5,6.1,10.7,16.7,1.4,0.9,1.2,1.4,4.6,14.6,0.588,0.588,,0.588,0.616,0.611,2269,24,,,,,,,,
2016-17,Tristan Thompson,5.6,9.3,5.6,9.3,0,0.1,2.3,4.6,6.1,9.2,15.3,1.6,0.8,1.8,1.4,3.8,13.5,0.6,0.604,0,0.6,0.498,0.594,2336,25,,,,,,,,
1983-84,Paul Thompson,8.8,18.9,8.5,17.7,0.3,1.1,3.3,4.2,3.4,5.5,8.9,3.5,2,1.1,2.1,5.5,21.1,0.467,0.482,0.231,0.474,0.772,0.51,1731,22,,,,,,,,
1980-81,Mychal Thompson,9.5,19.2,9.5,19.2,0,0,3.5,5.4,3.7,7.7,11.5,4.7,1,2.8,4,4.3,22.5,0.494,0.495,0,0.494,0.641,0.52,2790,26,,,,,,,,
1981-82,Mychal Thompson,10.4,19.9,10.4,19.9,0,0,4.3,6.8,3.9,10.1,14.1,4.9,1.1,1.6,3.7,3.6,25.1,0.523,0.523,,0.523,0.628,0.548,3129,27,,,,,,,,
1982-83,Mychal Thompson,8,16.3,8,16.3,0,0,3.9,6.3,2.9,9,11.9,6,1.1,1.7,4.4,3.4,19.8,0.489,0.489,0,0.489,0.621,0.52,3017,28,,,,,,,,
1983-84,Mychal Thompson,8.7,16.7,8.7,16.6,0,0,4.8,7.2,4.2,8.1,12.3,5.5,1.5,1.9,4.2,4.2,22.2,0.524,0.525,0,0.524,0.667,0.561,2648,29,,,,,,,,
1984-85,Mychal Thompson,10.1,19.7,10.1,19.7,0,0,5.4,8,3.7,7.2,11,3.6,1.4,1.8,4.1,3.8,25.7,0.515,0.515,,0.515,0.684,0.554,2616,30,,,,,,,,
1985-86,Mychal Thompson,9,18.1,9,18.1,0,0,3.5,5.5,3.2,7.6,10.9,3.1,1.4,0.6,3.5,4.8,21.5,0.498,0.498,,0.498,0.641,0.525,2569,31,,,,,,,,
1986-87,Mychal Thompson,9,19.9,8.9,19.9,0,0,5.5,7.4,3.4,6.8,10.3,2.9,1.1,1.8,3.3,5,23.4,0.45,0.45,0.5,0.451,0.737,0.506,1890,32,,,,,,,,
1987-88,Mychal Thompson,8.9,17.4,8.9,17.4,0,0.1,4.5,7,4.8,7,11.8,1.6,0.9,1.9,2.7,6.1,22.3,0.512,0.515,0,0.512,0.634,0.544,2007,33,,,,,,,,
1988-89,Mychal Thompson,7,12.5,7,12.5,0,0,3.8,5.5,3.8,7.5,11.2,1.2,1.4,1.4,2.3,5.4,17.7,0.559,0.56,0,0.559,0.678,0.593,1994,34,,,,,,,,
1989-90,Mychal Thompson,7.4,14.9,7.4,14.9,0,0,3.8,5.4,4.6,8,12.6,1.1,0.9,1.9,2.1,5.5,18.7,0.5,0.5,,0.5,0.706,0.542,1883,35,,,,,,,,
1990-91,Mychal Thompson,5.4,10.8,5.4,10.7,0,0.1,2.9,4.2,3.5,7.3,10.8,1,1.1,1.1,2.2,5.3,13.6,0.496,0.5,0,0.496,0.705,0.54,1077,36,,,,,,,,
1982-83,LaSalle Thompson,6.7,13.1,6.7,13.1,0,0,4.1,6.3,6.1,11,17.1,1.5,1.8,2.8,4.4,8.5,17.5,0.512,0.514,0,0.512,0.65,0.551,987,21,,,,,,,,
1983-84,LaSalle Thompson,8.1,15.5,8.1,15.5,0,0,3.9,5.4,6.3,10.9,17.3,2.1,1.7,3.5,4.1,8,20.1,0.523,0.523,,0.523,0.717,0.562,1915,22,,,,,,,,
1984-85,LaSalle Thompson,6.9,13,6.9,13,0,0,4.2,5.9,5.1,10.8,16,2.4,1.8,2.4,3.8,6.1,18,0.531,0.531,,0.531,0.721,0.579,2458,23,,,,,,,,
1985-86,LaSalle Thompson,8.1,15.7,8.1,15.7,0,0,4,5.5,5,10.3,15.2,3.3,1.4,2.2,3.6,5.8,20.3,0.518,0.518,0,0.518,0.732,0.559,2377,24,,,,,,,,
1986-87,LaSalle Thompson,7.9,16.4,7.9,16.3,0,0.1,4.1,5.6,5.2,9.8,15,2.7,1.5,2.8,3.1,6.3,19.9,0.481,0.485,0,0.481,0.737,0.528,2166,25,,,,,,,,
1988-89,LaSalle Thompson,8.6,17.5,8.6,17.5,0,0,4.7,5.8,4.6,10.2,14.8,1.7,1.6,1.9,3.7,5.9,21.8,0.489,0.49,0,0.489,0.808,0.544,2329,27,,,,,,,,
1989-90,LaSalle Thompson,5.2,11,5.2,10.8,0,0.1,2.5,3.1,4.1,10.6,14.7,2.5,1.5,1.7,3.5,7.3,12.9,0.473,0.476,0.2,0.475,0.799,0.523,2126,28,,,,,,,,
1990-91,LaSalle Thompson,6.9,14,6.8,13.9,0,0.1,1.8,2.6,3.8,10.2,14,3.6,1.6,1.6,4.2,6.6,15.5,0.488,0.491,0.2,0.489,0.692,0.512,1946,29,,,,,,,,
1991-92,LaSalle Thompson,6.3,13.4,6.3,13.3,0,0.1,2.2,2.7,3.7,10.6,14.2,3.8,1.9,1.3,3.7,7.7,14.7,0.468,0.471,0,0.468,0.817,0.505,1299,30,,,,,,,,
2011-12,Klay Thompson,10.3,23.2,6.7,14.5,3.6,8.7,2.6,2.9,0.8,4.4,5.2,4.3,1.6,0.6,3.3,5,26.7,0.443,0.46,0.414,0.52,0.868,0.545,1608,21,,,,,,,,
2012-13,Klay Thompson,8.8,20.9,5.1,11.8,3.7,9.1,2.3,2.7,0.6,4.7,5.3,3.2,1.5,0.8,2.7,4.1,23.5,0.422,0.437,0.401,0.509,0.841,0.533,2936,22,,,,,,,,
2013-14,Klay Thompson,9.7,21.9,5.8,12.6,3.9,9.3,2.6,3.2,0.7,3.7,4.3,3.1,1.3,0.6,2.3,4.1,25.9,0.444,0.464,0.417,0.533,0.795,0.555,2868,23,,,,,,,,
2014-15,Klay Thompson,12,25.8,7.2,15,4.8,10.8,4.5,5.1,0.5,4.4,4.9,4.4,1.7,1.2,3,2.4,33.2,0.463,0.481,0.439,0.555,0.879,0.591,2455,24,,,,,,,,
2015-16,Klay Thompson,11.8,25.1,6.8,13.3,5,11.8,3.5,4,0.6,4.9,5.5,3,1.1,0.9,2.5,2.8,32.1,0.47,0.51,0.425,0.569,0.873,0.597,2666,25,,,,,,,,
2016-17,Klay Thompson,11.7,25,6.8,13.2,4.9,11.8,3.4,4,0.9,4.3,5.2,2.9,1.2,0.7,2.3,2.5,31.6,0.468,0.516,0.414,0.565,0.853,0.592,2649,26,,,,,,,,
2008-09,Jason Thompson,7.9,15.9,7.9,15.7,0,0.2,4.4,6.3,5.2,8.2,13.4,2.1,1,1.3,3.2,6.9,20.1,0.497,0.502,0,0.497,0.692,0.54,2303,22,,,,,,,,
2009-10,Jason Thompson,8,17,8,16.8,0,0.2,4.3,6,4.9,8.9,13.8,2.7,0.9,1.6,3,6,20.3,0.472,0.477,0.1,0.473,0.715,0.518,2357,23,,,,,,,,
2010-11,Jason Thompson,7.8,15.4,7.8,15.3,0,0.1,3.5,5.8,4.2,8.9,13.1,2.5,0.8,1.3,2.9,6.1,19.1,0.507,0.51,0,0.507,0.605,0.533,1748,24,,,,,,,,
2011-12,Jason Thompson,7.3,13.6,7.3,13.5,0,0.1,3.3,5.5,5.1,8.5,13.6,2.4,1.3,1.3,2.1,4.6,17.8,0.535,0.537,0,0.535,0.602,0.558,1657,25,,,,,,,,
2012-13,Jason Thompson,8.4,16.7,8.4,16.6,0,0.1,3.2,4.6,3.9,8.5,12.3,1.9,1.1,1.4,2.3,5.1,20,0.502,0.504,0,0.502,0.694,0.533,2285,26,,,,,,,,
2013-14,Jason Thompson,6.4,12.6,6.4,12.6,0,0,2.1,3.7,3.9,9.5,13.4,1.3,0.8,1.4,2.4,6.4,14.9,0.506,0.506,,0.506,0.579,0.523,2007,27,,,,,,,,
2014-15,Jason Thompson,5.1,10.8,5.1,10.8,0,0,2.3,3.6,3.5,9.9,13.4,2.1,0.8,1.4,2.1,6,12.4,0.47,0.471,0,0.47,0.622,0.5,1991,28,,,,,,,,
2013-14,Hollis Thompson,4.8,10.3,2.9,5.7,1.9,4.6,1.4,2,2,4.8,6.9,2,1.5,0.3,1.7,4,12.8,0.46,0.507,0.401,0.55,0.712,0.57,1742,22,,,,,,,,
2014-15,Hollis Thompson,6.3,15.3,3.1,7.2,3.2,8.1,1.8,2.5,1.5,4.1,5.6,2.4,1.6,0.7,1.9,4,17.7,0.413,0.426,0.401,0.518,0.708,0.538,1776,23,,,,,,,,
2015-16,Hollis Thompson,6.1,15.5,2.8,6.6,3.4,8.9,1.6,2.2,1.2,5,6.2,2.3,0.8,0.5,1.7,4.3,17.2,0.397,0.42,0.38,0.507,0.719,0.525,2154,24,,,,,,,,
1980-81,David Thompson,12.2,24.2,12.1,23.6,0.2,0.7,8.2,10.3,1.8,3,4.8,3.9,0.9,1,4.2,3.9,32.8,0.506,0.513,0.256,0.509,0.795,0.571,2620,26,,,,,,,,
1982-83,David Thompson,9.6,20,9.6,19.8,0,0.2,6.4,8.2,2.1,3.8,5.8,4.8,1,0.7,3.5,3.1,25.7,0.481,0.484,0.2,0.482,0.784,0.545,2155,28,,,,,,,,
1988-89,Billy Thompson,7.4,15.3,7.4,15.2,0,0.1,3.3,4.8,5.1,7.1,12.2,3.8,1.2,2.2,4,5.5,18.2,0.487,0.49,0,0.487,0.696,0.524,2273,25,,,,,,,,
1989-90,Billy Thompson,8.3,16.1,8.3,16,0,0.1,2.6,4.1,5.3,6.9,12.2,3.7,1.2,2,3.5,5.3,19.2,0.516,0.516,0.5,0.517,0.622,0.536,2142,26,,,,,,,,
1990-91,Billy Thompson,6.7,13.4,6.7,13.3,0,0.1,2.9,4,3.9,6.3,10.2,3.6,1,1.6,3.8,5.3,16.3,0.499,0.504,0,0.499,0.718,0.536,1481,27,,,,,,,,
2006-07,Tyrus Thomas,7.1,15,7.1,14.9,0,0.1,5.6,9.3,4.7,9.6,14.3,2.1,2.4,4,5,8.6,19.8,0.475,0.479,0,0.475,0.606,0.521,966,20,,,,,,,,
2007-08,Tyrus Thomas,7.2,17.1,7.2,16.8,0,0.2,5,6.7,4,9.3,13.3,3.5,1.9,2.8,3,6.6,19.5,0.423,0.426,0.167,0.424,0.741,0.486,1330,21,,,,,,,,
2008-09,Tyrus Thomas,7.3,16.2,7.2,16,0.1,0.2,5.6,7.2,3.5,8.5,12,1.8,2.2,3.6,3.1,5.2,20.3,0.451,0.453,0.333,0.453,0.783,0.525,2175,22,,,,,,,,
1997-98,Tim Thomas,9.1,20.4,7.3,15.3,1.8,5.1,5.1,6.9,3.2,5.4,8.6,2.7,1.6,0.5,3.5,5.5,25.2,0.447,0.476,0.363,0.493,0.74,0.538,1779,20,,,,,,,,
1998-99,Tim Thomas,8.9,18.9,7.5,14.3,1.4,4.6,4.9,7.6,3.3,5.2,8.5,3.1,1.8,0.8,3.1,7.2,24.2,0.473,0.526,0.309,0.511,0.652,0.545,812,21,,,,,,,,
1999-00,Tim Thomas,8.6,18.6,7,14.1,1.6,4.5,4.6,6,2.5,5.7,8.2,2.8,1.5,0.8,3.2,5.6,23.4,0.461,0.497,0.346,0.503,0.774,0.549,2093,22,,,,,,,,
2000-01,Tim Thomas,8.1,18.9,5.5,12.4,2.7,6.5,4.9,6.3,2,5.8,7.8,3.4,1.9,1.1,2.8,4.8,23.8,0.43,0.44,0.412,0.501,0.771,0.549,2086,23,,,,,,,,
2001-02,Tim Thomas,8.5,20.2,5.9,12.4,2.5,7.8,3.8,4.8,1.7,6.3,8,2.8,1.7,0.9,3.4,5.4,23.3,0.42,0.478,0.326,0.483,0.793,0.522,1987,24,,,,,,,,
2002-03,Tim Thomas,9.3,20.9,7.1,15,2.2,6,3.3,4.2,2.2,6.6,8.8,2.3,1.6,1.1,3,5.8,24,0.443,0.474,0.366,0.495,0.78,0.527,2358,25,,,,,,,,
2003-04,Tim Thomas,9.2,20.6,7.3,15.7,1.8,4.9,4.3,5.5,1.6,6.5,8.1,3.1,1.6,0.5,2.9,5,24.5,0.446,0.468,0.376,0.491,0.784,0.534,2089,26,,,,,,,,
2004-05,Tim Thomas,8.6,19.6,6.3,13.9,2.3,5.7,3.7,4.7,1.2,5.2,6.5,3,1.1,0.5,3.1,6.1,23.2,0.439,0.451,0.409,0.498,0.786,0.536,1940,27,,,,,,,,
2006-07,Tim Thomas,7.7,18.6,4.2,9.4,3.5,9.2,2.6,3.7,1.6,8.1,9.7,4.4,1.4,0.7,2.7,5.9,21.5,0.414,0.444,0.382,0.508,0.708,0.532,2054,29,,,,,,,,
2014-15,Lance Thomas,6.3,15.4,6.1,14.6,0.2,0.8,2.5,3.4,2.3,4.5,6.8,2.4,1.3,0.3,2.6,3.5,15.4,0.412,0.417,0.318,0.42,0.727,0.456,1490,26,,,,,,,,
2015-16,Lance Thomas,6.6,15,4.9,10.7,1.7,4.3,4,4.7,1.3,3.8,5.1,2.1,0.9,0.3,2.2,4.3,18.9,0.442,0.458,0.404,0.5,0.857,0.557,1313,27,,,,,,,,
1995-96,Kurt Thomas,8.7,17.4,8.7,17.4,0,0.1,3.8,5.7,3.9,10.1,14,1.5,1.5,1.1,3.1,8.6,21.2,0.501,0.503,0,0.501,0.663,0.533,1655,23,,,,,,,,
1998-99,Kurt Thomas,7.9,17.2,7.9,17.2,0,0,3.1,5,3.8,9.5,13.4,2.6,2.1,0.8,3.4,7.4,19,0.462,0.463,0,0.462,0.611,0.489,1182,26,,,,,,,,
1999-00,Kurt Thomas,7.4,14.6,7.3,14.5,0,0.1,2.7,3.5,3.9,9.9,13.8,2.2,1.4,1.1,2.9,7.6,17.5,0.505,0.506,0.333,0.506,0.781,0.542,1971,27,,,,,,,,
2000-01,Kurt Thomas,8.2,16,8.2,15.9,0,0.1,4.5,5.5,4.5,8.9,13.4,1.6,1.6,1.8,2.6,7.5,20.8,0.511,0.512,0.333,0.512,0.814,0.566,2125,28,,,,,,,,
2001-02,Kurt Thomas,8.9,18.1,8.9,18,0,0.1,4.2,5.1,4.1,10.3,14.4,1.7,1.4,1.5,3,6.6,22.1,0.494,0.496,0.167,0.494,0.815,0.542,2771,29,,,,,,,,
2002-03,Kurt Thomas,10.2,21.1,10.2,21,0,0.1,2.8,3.8,3.3,9.8,13.1,3.3,1.7,2,2.8,7.1,23.3,0.483,0.483,0.667,0.484,0.75,0.511,2577,30,,,,,,,,
2003-04,Kurt Thomas,8.2,17.4,8.2,17.4,0,0.1,2.2,2.7,3.1,10.9,13.9,3.1,1.2,1.7,2.8,6.3,18.7,0.473,0.475,0,0.473,0.835,0.503,2548,31,,,,,,,,
2004-05,Kurt Thomas,7.9,16.7,7.8,16.6,0,0.1,1.2,1.6,3.2,12.3,15.4,3,1.3,1.5,1.8,5.7,17,0.471,0.47,0.5,0.472,0.786,0.488,2855,32,,,,,,,,
2007-08,Kurt Thomas,6.3,12.8,6.3,12.8,0,0,1.7,2.6,4.2,12.2,16.4,2.2,1.8,1.8,1.5,6.1,14.3,0.492,0.494,0,0.492,0.663,0.514,1584,35,,,,,,,,
2008-09,Kurt Thomas,5.9,11.8,5.9,11.7,0,0.1,1.4,1.7,5.2,10.5,15.7,2.6,1.3,2.2,1.6,6.6,13.3,0.503,0.507,0,0.503,0.822,0.53,1404,36,,,,,,,,
2009-10,Kurt Thomas,4.9,10.4,4.9,10.4,0,0,0.6,0.7,4.2,10.3,14.5,2.3,1.3,2.3,2.4,7.9,10.5,0.476,0.476,,0.476,0.8,0.489,1049,37,,,,,,,,
1999-00,Kenny Thomas,6,15.1,5.1,11.6,0.9,3.5,3.9,5.9,4.2,8.2,12.4,3.2,1.5,0.6,3.2,4.7,16.8,0.399,0.44,0.262,0.429,0.66,0.477,1797,22,,,,,,,,
2000-01,Kenny Thomas,6,13.6,5.3,10.9,0.7,2.7,2.7,3.7,3.6,8.6,12.2,2.2,1.2,1.3,3.4,5.2,15.4,0.443,0.485,0.272,0.47,0.722,0.507,1820,23,,,,,,,,
2001-02,Kenny Thomas,8.7,18.2,8.7,17.8,0,0.4,4.9,7.4,3.5,7.8,11.3,3,1.9,1.4,3.1,4.3,22.2,0.478,0.487,0,0.478,0.664,0.52,2484,24,,,,,,,,
2003-04,Kenny Thomas,7.7,16.4,7.7,16.3,0,0.1,4.9,6.5,5.3,9.9,15.2,2.2,1.7,0.7,3.5,4.4,20.3,0.469,0.47,0.2,0.469,0.752,0.527,2699,26,,,,,,,,
2004-05,Kenny Thomas,8.6,18.4,8.6,18.2,0,0.1,4.1,5.3,4.3,8.3,12.6,3.6,1.6,0.4,3.1,5.3,21.3,0.47,0.472,0.2,0.471,0.762,0.515,2167,27,,,,,,,,
2005-06,Kenny Thomas,6.9,13.8,6.9,13.7,0,0,3.1,4.6,4.5,9.5,14.1,3.8,1.6,0.9,3.1,4.5,17,0.505,0.506,0,0.505,0.676,0.539,2293,28,,,,,,,,
1983-84,Jim Thomas,7.2,15.5,7.2,15.1,0,0.4,3.1,4.2,2.3,3.5,5.7,5,2.3,0.2,2.7,4.4,17.5,0.464,0.474,0.091,0.465,0.727,0.504,1219,23,,,,,,,,
1984-85,Jim Thomas,7.7,16.1,7.5,15.2,0.2,0.9,4.1,5.2,1.6,4.1,5.8,5.2,1.7,0.1,2.9,4.3,19.6,0.478,0.496,0.19,0.483,0.782,0.534,2059,24,,,,,,,,
1981-82,Isiah Thomas,8.6,20.2,8.2,19.1,0.3,1.1,5.7,8.1,1.1,2.9,4,10.7,2.8,0.3,5.7,4.8,23.2,0.424,0.432,0.288,0.432,0.704,0.487,2433,20,,,,,,,,
1982-83,Isiah Thomas,10.6,22.5,10.1,20.7,0.5,1.8,5.4,7.6,1.5,3.3,4.8,9.3,2.9,0.4,4.8,4.7,27.2,0.472,0.488,0.288,0.483,0.71,0.525,3093,21,,,,,,,,
1983-84,Isiah Thomas,10.3,22.3,9.9,21.3,0.3,1,6,8.1,1.6,3.4,5,14.1,3.1,0.5,4.7,5,26.9,0.462,0.468,0.338,0.47,0.733,0.52,3007,22,,,,,,,,
1984-85,Isiah Thomas,9.6,20.9,9.1,19.2,0.4,1.7,5.9,7.3,1.7,3.7,5.3,16.6,2.8,0.4,4.5,4.3,25.5,0.458,0.476,0.257,0.468,0.809,0.529,3089,23,,,,,,,,
1985-86,Isiah Thomas,10.1,20.6,9.6,19.2,0.4,1.4,6,7.6,1.4,3.2,4.6,13.7,2.8,0.3,4.8,4,26.6,0.488,0.501,0.31,0.498,0.79,0.554,2790,24,,,,,,,,
1986-87,Isiah Thomas,9.9,21.3,9.6,19.8,0.3,1.5,6.3,8.2,1.3,3.7,5,12.8,2.4,0.3,5.4,4,26.3,0.463,0.484,0.194,0.47,0.768,0.528,3013,25,,,,,,,,
1987-88,Isiah Thomas,10.4,22.4,9.9,20.7,0.5,1.6,5.1,6.6,1.1,3.6,4.6,11.3,2.4,0.3,4.6,3.6,26.3,0.463,0.475,0.309,0.474,0.774,0.521,2927,26,,,,,,,,
1988-89,Isiah Thomas,9.8,21.1,9.2,19,0.6,2.1,4.9,6,0.8,3.9,4.7,11.4,2.3,0.3,5.1,3.6,25.1,0.464,0.485,0.273,0.477,0.818,0.528,2924,27,,,,,,,,
1989-90,Isiah Thomas,9.8,22.5,9.1,20.2,0.7,2.3,5,6.4,1.3,4,5.2,13,2.4,0.3,5.5,3.5,25.4,0.438,0.453,0.309,0.454,0.775,0.501,2993,28,,,,,,,,
1991-92,Isiah Thomas,10.1,22.7,9.7,21.2,0.4,1.5,5.2,6.8,1.2,3.2,4.4,10.1,2.1,0.3,4.5,3.5,26,0.446,0.458,0.291,0.456,0.772,0.505,2918,30,,,,,,,,
1992-93,Isiah Thomas,9.3,22.2,8.2,18.7,1.1,3.5,4.9,6.6,1.3,2.8,4.1,11.8,2.2,0.3,5,3.9,24.5,0.418,0.439,0.308,0.442,0.737,0.488,2922,31,,,,,,,,
2011-12,Isaiah Thomas,7.8,17.5,5.3,10.8,2.5,6.7,4.7,5.7,1.5,3.7,5.1,8.1,1.6,0.2,3.2,3.7,22.9,0.448,0.491,0.379,0.521,0.832,0.574,1656,22,,,,,,,,
2012-13,Isaiah Thomas,8.8,20.1,6.1,12.3,2.8,7.8,6.1,6.9,0.7,3.2,3.9,7.6,1.6,0.1,3.4,4,26.6,0.44,0.491,0.358,0.509,0.882,0.574,2122,23,,,,,,,,
2013-14,Isaiah Thomas,10.1,22.3,7.5,14.9,2.6,7.4,7,8.3,1,3.3,4.3,9.2,1.9,0.2,4.3,3.8,29.8,0.453,0.504,0.349,0.51,0.85,0.574,2497,24,,,,,,,,
2014-15,Isaiah Thomas,9.7,23.1,6,13,3.7,10,8.7,10.1,1,3.5,4.4,8.2,1.6,0.1,4.1,4.3,31.8,0.42,0.457,0.373,0.501,0.868,0.579,1726,25,,,,,,,,
2015-16,Isaiah Thomas,10.9,25.5,7.8,16.9,3.1,8.6,8.7,10,0.8,3.6,4.5,9.4,1.7,0.2,4.1,3.1,33.6,0.428,0.462,0.359,0.488,0.871,0.562,2644,26,,,,,,,,
2016-17,Isaiah Thomas,13.2,28.4,8.4,16,4.7,12.5,11.4,12.5,0.8,3.1,4,8.6,1.4,0.3,4.1,3.2,42.4,0.463,0.528,0.379,0.546,0.909,0.625,2569,27,,,,,,,,
2003-04,Etan Thomas,7,14.4,7,14.4,0,0,5.2,8.1,5,9.4,14.5,1.9,1,3.4,3.1,6,19.3,0.489,0.489,,0.489,0.647,0.538,1901,25,,,,,,,,
2005-06,Etan Thomas,6.1,11.4,6.1,11.4,0,0,3.5,5.8,4.6,8.4,12.9,0.6,0.9,3.2,2.4,6.9,15.6,0.533,0.533,,0.533,0.6,0.56,1121,27,,,,,,,,
1979-80,Reggie Theus,8.8,18.2,8.4,16.6,0.4,1.6,7.8,9.3,2.2,2.9,5.1,8,1.8,0.3,5.4,4.1,25.8,0.483,0.504,0.267,0.495,0.838,0.579,3029,22,,,,,,,,
1980-81,Reggie Theus,9.2,18.6,8.9,17,0.3,1.5,7.5,9.3,2.1,2.8,4.9,7.2,2.1,0.3,4.4,4.4,26.2,0.495,0.521,0.2,0.503,0.809,0.578,2820,23,,,,,,,,
1981-82,Reggie Theus,9.6,20.4,9.1,18.7,0.4,1.7,6.2,7.7,2,3.4,5.3,8.1,1.5,0.3,4.7,4.2,25.8,0.469,0.489,0.25,0.479,0.808,0.542,2838,24,,,,,,,,
1982-83,Reggie Theus,11.9,24.8,11.5,23.4,0.3,1.4,6.9,8.6,1.4,3.3,4.8,7.7,2.3,0.3,5.1,4.4,30.9,0.478,0.493,0.231,0.485,0.801,0.541,2856,25,,,,,,,,
1984-85,Reggie Theus,9.1,18.6,9,17.9,0.1,0.7,6,7,1.9,3,4.9,11.9,1.7,0.3,5.5,4.5,24.2,0.487,0.501,0.132,0.489,0.863,0.559,2543,27,,,,,,,,
1985-86,Reggie Theus,8.8,18.3,8.7,17.8,0.1,0.6,6.5,7.9,1.2,3.7,4.9,12.7,1.8,0.3,5.3,3.7,24.2,0.48,0.49,0.171,0.483,0.827,0.556,2919,28,,,,,,,,
1986-87,Reggie Theus,9.5,20.2,9.2,18.9,0.3,1.3,7.1,8.2,1.4,3,4.4,11.4,1.3,0.3,4.8,3.4,26.4,0.472,0.489,0.218,0.479,0.867,0.555,2872,29,,,,,,,,
